Linea;Billete de FGC/Integrados/Combinados;Tipo de billete;Billete;Zonas;Precio
Totes;Bitllets integrats;T-casual;T-casual;2;22.4
Totes;Bitllets integrats;T-casual;T-casual;3;30.5
Totes;Bitllets integrats;T-usual;T-usual;1;40.0
Totes;Bitllets integrats;T-usual;T-usual;6;113.75
Totes;Bitllets integrats;T-jove;T-jove;2;105.2
Totes;Bitllets integrats;T-jove;T-jove;3;147.55
Totes;Bitllets integrats;T-dia;T-dia;2;16.0
Totes;Bitllets integrats;T-dia;T-dia;4;22.45
Totes;Bitllets integrats;T-casual;T-casual;1;11.35
Totes;Bitllets integrats;T-familiar;T-familiar;1;10.0
Totes;Bitllets integrats;T-usual;T-usual;3;75.6
Totes;Bitllets integrats;T-grup;T-grup;2;156.8
Totes;Bitllets integrats;T-usual;T-usual;5;106.2
Totes;Bitllets integrats;T-grup;T-grup;3;213.5
Totes;Bitllets integrats;T-jove;T-jove;1;80.0
Totes;Bitllets integrats;T-grup;T-grup;5;315.35
Totes;Bitllets integrats;T-jove;T-jove;5;207.4
Totes;Bitllets integrats;T-aire;T-aire;2;4.05
Totes;Bitllets integrats;T-jove;T-jove;6;222.25
Totes;Bitllets integrats;T-aire;T-aire;4;7.55
Totes;Bitllets integrats;T-dia;T-dia;3;20.1
Totes;Bitllets integrats;T-jove;T-jove FM/FN especial;1;40.0
Totes;Bitllets integrats;T-dia;T-dia;5;25.15
Totes;Bitllets integrats;T-jove;T-jove FM/FN especial;2;52.6
Totes;Bitllets integrats;T-familiar;T-familiar;2;19.0
Totes;Bitllets integrats;T-jove;T-jove FM/FN especial;4;90.4
Totes;Bitllets integrats;T-familiar;T-familiar;3;27.0
Totes;Bitllets integrats;T-jove;T-jove FM/FN especial;5;103.7
Totes;Bitllets integrats;T-familiar;T-familiar;4;35.0
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN general;6;268.25
Totes;Bitllets integrats;T-familiar;T-familiar;6;42.0
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN especial;2;78.4
Totes;Bitllets integrats;T-grup;T-grup;1;79.45
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN especial;3;106.75
Totes;Bitllets integrats;T-aire;T-aire;3;5.5
Totes;Bitllets integrats;T-70/90;T-70/90 FM/FN especial;6;167.65
Totes;Bitllets integrats;T-aire;T-aire;5;8.1
Totes;Bitllets de FGC;Senzill;Bitllet senzill 2 en 1;1;4.8
Totes;Bitllets integrats;T-aire;T-aire;6;8.6
Totes;Bitllets de FGC;Senzill;Bitllet senzill 2 en 1;2;6.8
Totes;Bitllets integrats;T-usual;T-usual FM/FN general;1;32.0
Totes;Bitllets de FGC;Senzill;Bitllet senzill 4 en 1;2;13.6
Totes;Bitllets integrats;T-usual;T-usual FM/FN general;3;60.45
Totes;Bitllets de FGC;Senzill;Bitllet senzill 4 en 1;3;18.0
Totes;Bitllets integrats;T-usual;T-usual FM/FN general;4;74.05
Totes;Bitllets de FGC;Senzill;Bitllet senzill 4 en 1;5;29.4
Totes;Bitllets integrats;T-usual;T-usual FM/FN general;5;84.95
Totes;Bitllets de FGC;Senzill;Bitllet senzill 4 en 1;6;34.2
Totes;Bitllets integrats;T-usual;T-usual FM/FN general;6;91.0
Totes;Bitllets de FGC;Pensionista;Pensionista 50%;1;1.2
Totes;Bitllets integrats;T-usual;T-usual FM/FN especial;1;20.0
Totes;Bitllets de FGC;Pensionista;Pensionista 50%;3;2.25
Totes;Bitllets integrats;T-usual;T-usual FM/FN especial;3;37.8
Totes;Bitllets de FGC;Pensionista;Pensionista 50%;4;2.9
Totes;Bitllets integrats;T-usual;T-usual bonificada persones en situacio d atur;;9.95
Totes;Bitllets de FGC;Pensionista;Pensionista 50%;6;4.3
Totes;Bitllets integrats;T-jove;T-jove FM/FN general;2;84.15
Totes;Bitllets de FGC;Pensionista;Pensionista 75%;5;1.8
Totes;Bitllets integrats;T-jove;T-jove FM/FN general;3;118.05
Totes;Bitllets de FGC;Pensionista;Pensionista 50% 2 en 1;1;2.4
Totes;Bitllets integrats;T-jove;T-jove FM/FN general;4;144.6
Totes;Bitllets de FGC;Pensionista;Pensionista 50% 2 en 1;2;3.4
Totes;Bitllets integrats;T-jove;T-jove FM/FN general;6;177.8
Totes;Bitllets de FGC;Pensionista;Pensionista 50% 2 en 1;4;5.8
Totes;Bitllets integrats;T-jove;T-jove FM/FN especial;3;73.8
Totes;Bitllets de FGC;Pensionista;Pensionista 50% 2 en 1;5;7.3
Totes;Bitllets de FGC;Senzill;Bitllet senzill;3;4.5
Totes;Bitllets de FGC;Pensionista;Pensionista 50% 2 en 1;6;8.6
Totes;Bitllets de FGC;Senzill;Bitllet senzill 2 en 1;3;9.0
Totes;Bitllets de FGC;Pensionista;Pensionista 75% 2 en 1;2;1.7
Totes;Bitllets de FGC;Senzill;Bitllet senzill 2 en 1;5;14.7
Totes;Bitllets de FGC;Pensionista;Pensionista 75% 2 en 1;3;2.3
Totes;Bitllets de FGC;Senzill;Bitllet senzill 4 en 1;1;9.6
Totes;Bitllets de FGC;Pensionista;Pensionista 50% 4 en 1;2;6.8
Totes;Bitllets de FGC;Senzill;Bitllet senzill 4 en 1;4;23.0
Totes;Bitllets de FGC;Pensionista;Pensionista 50% 4 en 1;5;14.6
Totes;Bitllets de FGC;Pensionista;Pensionista 50%;5;3.65
Totes;Bitllets de FGC;Pensionista;Pensionista 75% 4 en 1;4;5.8
Totes;Bitllets de FGC;Pensionista;Pensionista 75%;3;1.15
Totes;Bitllets de FGC;Pensionista;Pensionista 75% 4 en 1;6;8.6
Totes;Bitllets de FGC;Pensionista;Pensionista 75%;4;1.45
Totes;Bitllets de FGC;Familia nombrosa i monoparental;Bitllet senzill 50% Cat. especial (familia nombrosa i monoparental);3;2.25
Totes;Bitllets de FGC;Pensionista;Pensionista 75% 2 en 1;1;1.2
Totes;Bitllets de FGC;Familia nombrosa i monoparental;Bitllet senzill 50% Cat. especial (familia nombrosa i monoparental);6;4.3
Totes;Bitllets de FGC;Pensionista;Pensionista 75% 2 en 1;4;2.9
Totes;Bitllets de FGC;Familia nombrosa i monoparental;T-Familia nombrosa i monoparental;1;30.0
Totes;Bitllets de FGC;Pensionista;Pensionista 75% 2 en 1;5;3.6
Totes;Bitllets de FGC;Familia nombrosa i monoparental;T-Familia nombrosa i monoparental;2;40.4
Totes;Bitllets de FGC;Pensionista;Pensionista 75% 2 en 1;6;4.3
Totes;Bitllets de FGC;Familia nombrosa i monoparental;T-Familia nombrosa i monoparental;5;79.65
Totes;Bitllets de FGC;Pensionista;Pensionista 50% 4 en 1;1;4.8
Totes;Bitllets de FGC;Familia nombrosa i monoparental;T-Familia nombrosa i monoparental;6;85.3
Totes;Bitllets de FGC;Pensionista;Pensionista 50% 4 en 1;4;11.6
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 1;0;100.85
Totes;Bitllets de FGC;Pensionista;Pensionista 50% 4 en 1;6;17.2
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 2;0;153.35
Totes;Bitllets de FGC;Pensionista;Pensionista 75% 4 en 1;3;4.6
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 4;0;250.25
Totes;Bitllets de FGC;Familia nombrosa i monoparental;Bitllet senzill 20% Cat. general (familia nombrosa i monoparental);5;5.9
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 1;0;80.7
Totes;Bitllets de FGC;Familia nombrosa i monoparental;Bitllet senzill 50% Cat. especial (familia nombrosa i monoparental);4;2.9
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 4;0;200.2
Totes;Bitllets de FGC;Familia nombrosa i monoparental;T-Familia nombrosa i monoparental;3;56.7
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 5;0;224.4
Totes;Bitllets de FGC;Familia nombrosa i monoparental;T-Familia nombrosa i monoparental;4;69.4
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 3;0;100.6
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 5;0;280.5
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 6;0;172.15
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 1;0;50.45
Metro del Valles;Bitllets de FGC;Abonament anual;Abonam. anual Grup 1;0;321.5
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 2;0;76.65
Metro del Valles;Bitllets de FGC;Abonament anual;Abonam. anual Grup 5;0;805.25
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 4;0;125.15
Metro del Valles;Bitllets de FGC;Abonament anual;Abonam. anual Grup 6;0;915.75
Metro del Valles;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 5;0;140.25
Metro del Valles;Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 4;0;380.7
Metro del Valles;Bitllets de FGC;Abonament anual;Abonam. anual Grup 4;0;719.2
Metro del Valles;Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 6;0;460.1
Metro del Valles;Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 2;0;331.1
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 2;0;141.2
Metro del Valles;Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 5;0;382.7
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 3;0;172.45
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 1;0;115.4
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 4;0;214.75
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 5;0;244.05
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 3;0;137.95
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 6;0;308.8
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 2;0;70.6
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 7;0;430.3
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual;Abonam. anual Grup 1;0;311.45
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 1;0;92.3
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual;Abonam. anual Grup 2;0;373.95
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 4;0;171.8
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual;Abonam. anual Grup 3;0;456.0
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 6;0;247.05
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual;Abonam. anual Grup 4;0;579.45
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 7;0;344.25
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 1;0;281.45
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 1;0;57.7
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 3;0;380.65
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 3;0;86.25
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 4;0;457.35
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 5;0;122.05
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 6;0;537.25
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 6;0;154.4
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 1;0;110.5
Metro del Baix Llobregat;Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 7;0;215.15
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 2;0;160.9
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual;Abonam. anual Grup 5;0;651.0
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 3;0;234.9
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual;Abonam. anual Grup 6;0;829.1
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 7;0;561.15
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 2;0;331.1
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 4;0;229.75
Metro del Baix Llobregat;Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 5;0;457.35
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual;Abonam. anual Grup 2;0;546.85
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 3;0;293.6
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual;Abonam. anual Grup 3;0;883.7
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 6;0;609.75
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual;Abonam. anual Grup 4;0;1323.05
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. Grup 7;0;701.45
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual;Abonam. anual Grup 7;0;2094.2
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 1;0;88.4
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 2;0;459.8
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. general Grup 4;0;367.55
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 6;0;807.9
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 2;0;100.6
Funicular de Gelida;Bitlllets de FGC;Senzill;Senzill - Adult;0;2.4
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 5;0;255.3
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Adult TA;4;13.25
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament Trimestral;Abonam. Trim. FM/FN Cat. especial Grup 6;0;304.9
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Nens (4-13 anys) TB;4;9.55
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual;Abonam. anual Grup 6;0;1894.5
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TB;1;8.6
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 3;0;537.25
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TA;1;9.1
Llobregat-Anoia (Rodalia);Bitllets de FGC;Abonament anual per a escolars;Abonament anual per a escolars Grup 5;0;754.7
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TB;2;9.6
Llobregat-Anoia;Bitllets de FGC;T-Regional;T-Regional Zona 2;2;11.7
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TA;3;11.2
Tren i Cremallera de Montserrat;Bitllets combinats;Trans Montserrat Pl.Espanya;Trans Montserrat Pl.Espanya;0;33.45
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - 3a edat TA;4;12.45
Totes;Bitllets integrats;T-casual;T-casual;4;39.2
Tren i Cremallera de Montserrat;Bitllets combinats;Tot Montserrat Pl.Espanya;Tot Montserrat Pl.Espanya;0;52.9
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TB;2;18.3
Totes;Bitllets integrats;T-casual;T-casual;5;45.05
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Adult TA;1;9.9
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada - Adult TB;5;26.2
Totes;Bitllets integrats;T-casual;T-casual;6;47.9
Tren i Cremallera de Montserrat;Bitllets combinats;Senzill;Senzill - Adult TB;2;10.3
Tren i Cremallera de Montserrat;Bitllets combinats;Anada i tornada;Anada i tornada  - Nens (4-13 anys) TB;3;15.3
